name,value,year,lastValue,rank
CANADA,59669,2017,526,10
CANADA,16264,2017,9,10
CANADA,87093,2017,502,10
CANADA,450569,2017,3124,10
CANADA,105164,2017,5122,10
CANADA,134138,2017,1808,10
CANADA,142970,2017,8479,10
CANADA,1802470,2017,75254,10
CANADA,178977,2017,14355,10
CANADA,169566,2017,13768,10
CANADA,119109,2017,4999,10
CANADA,1643957,2017,11100,10
CANADA,238157,2017,18543,10
CANADA,1796416,2017,219930,10
CANADA,889448,2017,16957,10
CANADA,5556954,2017,205315,10
CANADA,2289723,2017,199782,10
CANADA,135105,2017,10332,10
CANADA,10886,2017,598,10
CANADA,855000,2017,7529,10
CANADA,660026,2017,8724,10
CANADA,1529801,2017,134989,10
CANADA,2360273,2017,119955,10
CANADA,97001,2017,6935,10
CANADA,11802,2017,858,10
CANADA,2484089,2017,150573,10
CANADA,8956,2017,226,10
CANADA,483743,2017,32537,10
CANADA,547921,2017,50554,10
CANADA,918680,2017,94541,10
CANADA,240706,2017,2441,10
CANADA,185039,2017,979,10
CANADA,1014651,2017,127794,10
CANADA,5181,2017,194,10
CANADA,208234,2017,1540,10
CANADA,7966,2017,410,9
CANADA,76359,2017,661,9
CANADA,28885,2017,1834,9
CANADA,176586,2017,27951,9
CANADA,66857,2017,358,9
CANADA,181851,2017,1490,9
CANADA,1723834,2017,98083,9
CANADA,238948,2017,25570,9
CANADA,122404,2017,359,9
CANADA,628756,2017,65505,9
CANADA,111471,2017,2847,9
CANADA,49119,2017,205,9
CANADA,408386,2017,885,9
CANADA,87899,2017,7136,9
CANADA,103110,2017,1344,9
CANADA,178709,2017,71984,9
CANADA,48883,2017,491,9
CANADA,265836,2017,13489,9
CANADA,149731,2017,6380,9
CANADA,618753,2017,38231,9
CANADA,64134,2017,3748,9
CANADA,364730,2017,35082,9
CANADA,151535,2017,5834,9
CANADA,484639,2017,5777,9
CANADA,71574,2017,2289,9
CANADA,192406,2017,7057,9
CANADA,74557,2017,7559,9
CANADA,151206,2017,9700,9
CANADA,133352,2017,2671,9
CANADA,2425655,2017,231279,9
CANADA,317391,2017,39661,9
CANADA,295837,2017,423,9
CANADA,106758,2017,460,9
CANADA,5247220,2017,528411,9
CANADA,359183,2017,28376,9
CANADA,44813,2017,2583,9
CANADA,162113,2017,10817,9
CANADA,482355,2017,46461,9
CANADA,1237072,2017,26947,9
CANADA,128390,2017,10890,9
